User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Dominant_Emotion_Encoded
1,25,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness,3
2,30,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger,0
3,22,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral,4
4,28,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety,1
5,33,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom,2
6,21,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness,3
7,27,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger,0
8,24,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness,5
9,29,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral,4
10,31,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness,3
11,23,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety,1
12,26,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness,5
13,34,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom,2
14,22,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness,3
15,28,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger,0
16,21,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral,4
17,35,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety,1
18,27,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness,5
19,23,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral,4
20,32,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness,3
21,26,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety,1
22,24,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger,0
23,29,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom,2
24,33,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness,3
25,22,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness,5
26,31,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral,4
27,27,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety,1
28,25,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness,3
29,30,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger,0
30,26,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness,5
31,34,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom,2
32,28,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness,3
33,23,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral,4
34,21,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness,5
35,29,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety,1
36,24,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom,2
37,33,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness,3
